```
Crop,Optimal_Temperature_Range (°C),Optimal_Humidity_Range (%),Optimal_Soil_Moisture_Range (%),Optimal_pH_Range,Typical_Temperature (°C),Typical_Humidity (%),Typical_Soil_Moisture (%),Typical_pH
Wheat,20.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Barley,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Oats,15.0-25.0,50.0-70.0,40.0-60.0,5.5-7.0,25.2,55.5,47.2,7.4
Maize,20.0-30.0,50.0-70.0,50.0-70.0,5.8-7.0,25.2,55.5,47.2,7.4
Lentil,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Chickpea,15.0-25.0,40.0-60.0,30.0-50.0,6.0-7.5,25.2,55.5,47.2,7.4
Field Pea,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Cowpea,20.0-30.0,50.0-70.0,40.0-60.0,5.5-7.0,25.2,55.5,47.2,7.4
Pigeon Pea,20.0-30.0,50.0-70.0,40.0-60.0,5.5-7.0,25.2,55.5,47.2,7.4
Green Gram,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Mustard,15.0-25.0,40.0-60.0,30.0-50.0,6.5-7.5,25.2,55.5,47.2,7.4
Linseed,15.0-25.0,40.0-60.0,30.0-50.0,6.0-7.5,25.2,55.5,47.2,7.4
Sunflower,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Sesame,20.0-30.0,40.0-60.0,30.0-50.0,5.5-7.5,25.2,55.5,47.2,7.4
Groundnut,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Potato,15.0-25.0,60.0-80.0,50.0-70.0,5.5-6.5,25.2,55.5,47.2,7.4
Cauliflower,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Cabbage,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Tomato,20.0-30.0,60.0-80.0,50.0-70.0,6.0-6.8,25.2,55.5,47.2,7.4
Brinjal,20.0-30.0,60.0-80.0,50.0-70.0,5.5-6.8,25.2,55.5,47.2,7.4
Okra,25.0-35.0,50.0-70.0,50.0-70.0,6.0-7.5,25.2,55.5,47.2,7.4
Onion,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Garlic,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Spinach,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Radish,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Carrot,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Turnip,15.0-25.0,60.0-80.0,50.0-70.0,5.5-7.0,25.2,55.5,47.2,7.4
Beetroot,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Peas,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
French Bean,15.0-25.0,50.0-70.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Broccoli,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Lettuce,15.0-25.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Capsicum,20.0-30.0,60.0-80.0,50.0-70.0,5.5-6.8,25.2,55.5,47.2,7.4
Sugarcane,25.0-35.0,50.0-70.0,50.0-70.0,6.5-8.0,25.2,55.5,47.2,7.4
Tobacco,20.0-30.0,50.0-70.0,40.0-60.0,5.5-6.5,25.2,55.5,47.2,7.4
Coriander,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Fenugreek,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Cumin,20.0-30.0,40.0-60.0,30.0-50.0,6.5-7.5,25.2,55.5,47.2,7.4
Fennel,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Turmeric,20.0-30.0,60.0-80.0,50.0-70.0,5.5-7.5,25.2,55.5,47.2,7.4
Ginger,20.0-30.0,60.0-80.0,50.0-70.0,5.5-7.0,25.2,55.5,47.2,7.4
Chili,20.0-30.0,50.0-70.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Safflower,15.0-25.0,40.0-60.0,30.0-50.0,6.0-7.5,25.2,55.5,47.2,7.4
Soybean,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Amaranth,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Buckwheat,15.0-25.0,50.0-70.0,40.0-60.0,5.5-7.0,25.2,55.5,47.2,7.4
Mung Bean,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Cluster Bean,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Horse Gram,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.0,25.2,55.5,47.2,7.4
Moth Bean,20.0-30.0,50.0-70.0,30.0-50.0,6.0-7.5,25.2,55.5,47.2,7.4
Bitter Gourd,25.0-35.0,50.0-70.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Ridge Gourd,25.0-35.0,50.0-70.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Bottle Gourd,25.0-35.0,50.0-70.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Pumpkin,20.0-30.0,50.0-70.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
Cucumber,20.0-30.0,60.0-80.0,50.0-70.0,6.0-7.0,25.2,55.5,47.2,7.4
```
