```
Crop,Region,Optimal_Temperature_Range (°C),Optimal_Humidity_Range (%),Optimal_Soil_Moisture_Range (%),Optimal_pH_Range,Typical_Temperature (°C),Typical_Humidity (%),Typical_Soil_Moisture (%),Typical_pH
Wheat,North,20.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Rice,South/East,25.0-35.0,60.0-80.0,60.0-80.0,5.5-7.0,28.0,65.0,60.0,6.8
Maize,Central/South,20.0-30.0,50.0-70.0,50.0-70.0,5.8-7.0,26.5,60.0,50.0,7.0
Barley,North,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Sorghum,West/Central,25.0-35.0,40.0-60.0,30.0-50.0,6.0-7.5,27.0,50.0,40.0,7.5
Pearl Millet,West,25.0-35.0,40.0-60.0,30.0-50.0,6.0-7.5,27.0,50.0,40.0,7.5
Finger Millet,South,20.0-30.0,50.0-70.0,40.0-60.0,5.5-7.0,26.5,60.0,50.0,6.8
Oats,North,15.0-25.0,50.0-70.0,40.0-60.0,5.5-7.0,25.2,55.5,47.2,7.4
Chickpea,North/Central,15.0-25.0,40.0-60.0,30.0-50.0,6.0-7.5,25.2,55.5,47.2,7.4
Lentil,North,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Pigeon Pea,Central/South,20.0-30.0,50.0-70.0,40.0-60.0,5.5-7.0,26.5,60.0,50.0,7.0
Green Gram,South/West,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.5,27.0,60.0,50.0,7.0
Black Gram,South/Central,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.5,26.5,60.0,50.0,7.0
Field Pea,North,15.0-25.0,50.0-70.0,40.0-60.0,6.0-7.5,25.2,55.5,47.2,7.4
Cowpea,South,20.0-30.0,50.0-70.0,40.0-60.0,5.5-7.0,26.5,60.0,50.0,7.0
Horse Gram,South/Central,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.0,26.5,60.0,50.0,7.0
Moth Bean,West,20.0-30.0,50.0-70.0,30.0-50.0,6.0-7.5,27.0,50.0,40.0,7.5
Mustard,North,15.0-25.0,40.0-60.0,30.0-50.0,6.5-7.5,25.2,55.5,47.2,7.4
Groundnut,South/West,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.0,27.0,60.0,50.0,7.0
Soybean,Central,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.0,26.5,60.0,50.0,7.0
Sunflower,Central/South,20.0-30.0,50.0-70.0,40.0-60.0,6.0-7.5,26.5,60.0,50.0,7.0
Sesame,South/West,20.0-30.0,40.0-60.0,30.0-50.0,5.5-7.5,27.0,60.0,50.0,7.0
Linseed,North/Central,15.0-25.0,40.0-60.0,30.0-50.0,6.0-7.5,25.2,55.5,47.2,7.4
Safflower,West/Central,15.0-25.0,40.0-60.0,30.0-50.0,6.0-7.5,27.0,50.0,40.0,7.5
