```
Date,Temperature (°C),Humidity (%),Soil Moisture (%),pH
2025-03-01,25.0,55.0,45.0,7.4
2025-03-02,25.2,54.8,45.5,7.5
2025-03-03,24.8,56.0,44.8,7.4
2025-03-04,25.5,53.5,46.0,7.3
2025-03-05,25.7,54.0,46.5,7.5
2025-03-06,24.9,55.5,45.2,7.4
2025-03-07,25.3,54.2,46.8,7.6
2025-03-08,25.6,53.8,47.0,7.5
2025-03-09,25.1,55.2,46.2,7.4
2025-03-10,25.4,54.5,45.8,7.3
2025-03-11,25.8,53.0,47.5,7.5
2025-03-12,25.0,55.0,46.0,7.4
2025-03-13,25.3,54.7,45.5,7.6
2025-03-14,25.5,54.0,46.8,7.5
2025-03-15,25.2,55.5,47.2,7.4
2025-03-16,25.7,53.5,46.5,7.3
2025-03-17,25.9,53.0,47.0,7.5
2025-03-18,25.4,54.2,46.2,7.4
2025-03-19,25.6,54.0,47.5,7.6
2025-03-20,25.8,53.8,46.8,7.5
2025-03-21,25.3,55.0,45.5,7.4
2025-03-22,25.5,54.5,46.0,7.3
2025-03-23,25.7,53.5,47.2,7.5
2025-03-24,25.9,53.0,46.5,7.4
2025-03-25,26.0,52.8,47.0,7.6
2025-03-26,25.4,54.0,46.2,7.5
2025-03-27,25.6,53.5,47.5,7.4
2025-03-28,25.8,53.0,46.8,7.3
2025-03-29,26.0,52.5,47.0,7.5
2025-03-30,25.5,54.0,46.5,7.4
2025-03-31,25.7,53.5,47.2,7.6
```
