```
Timestamp,Temperature (°C),Humidity (%),Soil Moisture (%),pH
2025-03-15 00:00:00,20.2,68.5,45.3,7.4
2025-03-15 01:00:00,19.8,69.2,45.1,7.5
2025-03-15 02:00:00,19.5,70.0,44.8,7.4
2025-03-15 03:00:00,19.3,70.5,44.6,7.3
2025-03-15 04:00:00,19.0,71.0,44.5,7.4
2025-03-15 05:00:00,19.2,70.8,44.7,7.5
2025-03-15 06:00:00,20.0,68.0,45.0,7.6
2025-03-15 07:00:00,21.5,65.0,45.2,7.5
2025-03-15 08:00:00,23.0,60.5,46.0,7.4
2025-03-15 09:00:00,25.2,55.0,47.0,7.3
2025-03-15 10:00:00,27.0,50.5,48.5,7.4
2025-03-15 11:00:00,29.0,46.0,50.0,7.5
2025-03-15 12:00:00,30.5,43.0,51.5,7.6
2025-03-15 13:00:00,31.0,41.5,52.0,7.5
2025-03-15 14:00:00,31.2,40.8,52.5,7.4
2025-03-15 15:00:00,30.8,42.0,52.3,7.3
2025-03-15 16:00:00,29.5,45.0,51.8,7.4
2025-03-15 17:00:00,28.0,48.5,51.0,7.5
2025-03-15 18:00:00,26.5,52.0,50.5,7.6
2025-03-15 19:00:00,24.8,57.0,49.0,7.5
2025-03-15 20:00:00,23.0,60.5,48.0,7.4
2025-03-15 21:00:00,22.0,63.0,47.5,7.3
2025-03-15 22:00:00,21.2,65.5,46.5,7.4
2025-03-15 23:00:00,20.5,67.0,46.0,7.5
```
